FrameNumber,Response
1,X
2,Circle
3,Circle
4,Circle
5,Triangle
6,Triangle
7,Circle
8,Circle
9,Circle
10,R1
11,R1
12,R1
13,R1
14,R1
15,R1
16,R1
17,R1
18,R1
19,R1
20,R1
21,R1
22,R1
23,R1
24,R1
25,R1
26,R1
27,R1
28,R1
29,R1
30,R1
31,R1
32,R1
33,R1
34,R1
35,R1
36,R1
37,R1
38,R1
39,R1
40,R1
41,R1
42,R1
43,R1
44,R1
45,R1
46,R1
47,L1
48,L1
49,L1
50,L1
51,L1
52,L1
53,L1
54,L1
55,L1
56,L1
57,L1
58,L1
59,L1
60,L1
61,L1
62,L1
63,L1
64,L1
65,L1
66,L1
67,L1
68,L1
69,L1
70,L1
71,L1
72,L1
73,L1
74,L1
75,L1
76,L1
77,L1
78,L1
79,L1
80,L1
81,L1
82,L1
83,L1
84,L1
85,L1
86,L1
87,L1
88,L1
89,L1
90,L1
91,Circle
92,Circle
93,Circle
94,Circle
95,Circle
96,Circle
97,Circle
98,Circle
99,Circle
100,Circle
101,Circle
102,Circle
103,Circle
104,Circle
105,Circle
106,Circle
107,Circle
108,Circle
109,Circle
110,Circle
111,Circle
112,Circle
113,Circle
114,Circle
115,Circle
116,Circle
117,Circle
118,Circle
119,Circle
120,Circle
121,Circle
122,Circle
123,Circle
124,Circle
125,Circle
126,Circle
127,Circle
128,Circle
129,Circle
130,Circle
131,Circle
132,Circle
133,X
134,X
135,X
136,X
137,X
138,X
139,X
140,X
141,X
142,X
143,X
144,X
145,X
146,X
147,X
148,X
149,X
150,X
151,X
152,X
153,X
154,X
155,X
156,X
157,X
158,X
159,X
160,X
161,X
162,X
163,X
164,X
165,X
166,X
167,X
168,X
169,X
170,X
171,X
172,X
173,X
174,X
175,X
176,X
177,X
178,X
179,X
180,X
181,X
182,X
183,X
184,X
185,X
186,X
187,X
188,X
189,X
190,X
191,X
192,X
193,X
194,X
195,X
196,X
197,X
198,X
199,X
200,X
201,X
202,X
203,X
204,X
205,X
206,X
207,X
208,X
209,X
210,Square
211,Square
212,Square
213,Square
214,Square
215,Square
216,Square
217,Square
218,Square
219,Square
220,Square
221,Square
222,Square
223,Square
224,Square
225,Square
226,Square
227,Square
228,Square
229,Square
230,Square
231,Square
232,Square
233,Square
234,Square
235,Square
236,Square
237,Square
238,Square
239,Square
240,Square
241,Square
242,Square
243,Square
244,Square
245,Square
246,Square
247,Square
248,Square
249,Square
250,Square
